,id,metadata_type,indicator_code,indicator_name,definition_concept,benefit,additional_information,interpretation,full_content
429,458,indikator,706,Laju Pertumbuhan PDB Tahunan,Pertumbuhan Produk Domestik Bruto (PDB) dari tahun t-1 ke tahun t.,"Mengetahui perkembangan ekonomi.
",,"Laju pertumbuhan memperlihatkan tingkat pertumbuhan ekonomi suatu wilayah pada waktu tertentu.
","Nama indikator : Laju Pertumbuhan PDB Tahunan.

Konsep definisi : Pertumbuhan Produk Domestik Bruto (PDB) dari tahun t-1 ke tahun t.

Manfaat : Mengetahui perkembangan ekonomi.
.

Keterangan tambahan : .

Interpretasi : Laju pertumbuhan memperlihatkan tingkat pertumbuhan ekonomi suatu wilayah pada waktu tertentu.
."
430,459,indikator,707,Distribusi Persentase PDB Tahunan,Sumbangan per lapangan usaha.,"Mengetahui struktur ekonomi.
",-,"Distribusi persentase PDB memperlihatkan struktur ekonomi suatu wilayah menurut lapangan usaha.
","Nama indikator : Distribusi Persentase PDB Tahunan.

Konsep definisi : Sumbangan per lapangan usaha.

Manfaat : Mengetahui struktur ekonomi.
.

Keterangan tambahan : -.

Interpretasi : Distribusi persentase PDB memperlihatkan struktur ekonomi suatu wilayah menurut lapangan usaha.
."
431,460,indikator,708,Rasio Pendapatan Produk Lingkungan,Proporsi pendapatan dari penjualan produk lingkungan dibanding seluruh pendapatan.,"Melihat share produk lingkungan dibanding seluruh pendapatan.
",,"Rasio pendapatan dari barang dan jasa lingkungan menunjukkan porsi pendapatan dari penjualan barang dan jasa yang ramah lingkungan dibanding barang lain yang tidak ramah lingkungan. Sebagai contoh, rasio penjualan AC tanpa freon sebesar 0,24 bermakna 24 persen dari total pendapatan penjualan AC merupakan hasil penjualan AC tanpa freon.
","Nama indikator : Rasio Pendapatan Produk Lingkungan.

Konsep definisi : Proporsi pendapatan dari penjualan produk lingkungan dibanding seluruh pendapatan.

Manfaat : Melihat share produk lingkungan dibanding seluruh pendapatan.
.

Keterangan tambahan : .

Interpretasi : Rasio pendapatan dari barang dan jasa lingkungan menunjukkan porsi pendapatan dari penjualan barang dan jasa yang ramah lingkungan dibanding barang lain yang tidak ramah lingkungan. Sebagai contoh, rasio penjualan AC tanpa freon sebesar 0,24 bermakna 24 persen dari total pendapatan penjualan AC merupakan hasil penjualan AC tanpa freon.
."
432,461,indikator,709,Indeks Harga Yang Diterima oleh Petani (It),Indeks yang disusun berdasarkan nilai hasil produksi pertanian,"
	Melihat fluktuasi harga barang-barang yang dihasilkan petani;.
	Indeks ini juga digunakan sebagai data penunjang dalam penghitungan pendapatan sektor pertanian.

",-,"It Nasional Juni 2020 (2018=100)=125,13 artinya tingkat harga produksi pertanian mengalami kenaikan sebesar 25,13 persen dibanding dengan produk yang sama pada tahun 2018.
","Nama indikator : Indeks Harga Yang Diterima oleh Petani (It).

Konsep definisi : Indeks yang disusun berdasarkan nilai hasil produksi pertanian.

Manfaat : 
	Melihat fluktuasi harga barang-barang yang dihasilkan petani;.
	Indeks ini juga digunakan sebagai data penunjang dalam penghitungan pendapatan sektor pertanian.

.

Keterangan tambahan : -.

Interpretasi : It Nasional Juni 2020 (2018=100)=125,13 artinya tingkat harga produksi pertanian mengalami kenaikan sebesar 25,13 persen dibanding dengan produk yang sama pada tahun 2018.
."
433,462,indikator,710,Produksi Tanaman Sayuran dan Buah-buahan Semusim,Jumlah produksi tanaman sayuran dan buah-buahan semusim,"Mengetahui jumlah produksi tanaman sayuran dan buah-buahan di satu provinsi pada bulan/triwulan tertentu.
",,"Misalkan produksi bawang merah adalah 20 kuintal, berarti berat total tanaman bawang merah yang dihasilkan sebanyak 20 kuintal.Misalkan produksi bawang merah adalah 20 kuintal, berarti berat total tanaman bawang merah yang dihasilkan sebanyak 20 kuintal.Produksi tanaman sayuran dan buah-buahan semusim di satu provinsi pada bulan/triwulan tertentu.
","Nama indikator : Produksi Tanaman Sayuran dan Buah-buahan Semusim.

Konsep definisi : Jumlah produksi tanaman sayuran dan buah-buahan semusim.

Manfaat : Mengetahui jumlah produksi tanaman sayuran dan buah-buahan di satu provinsi pada bulan/triwulan tertentu.
.

Keterangan tambahan : .

Interpretasi : Misalkan produksi bawang merah adalah 20 kuintal, berarti berat total tanaman bawang merah yang dihasilkan sebanyak 20 kuintal.Misalkan produksi bawang merah adalah 20 kuintal, berarti berat total tanaman bawang merah yang dihasilkan sebanyak 20 kuintal.Produksi tanaman sayuran dan buah-buahan semusim di satu provinsi pada bulan/triwulan tertentu.
."
434,463,indikator,711,Produksi Tanaman Hias,Jumlah produksi tanaman hias,"Mengetahui jumlah produksi tanaman hias di satu provinsi pada bulan/triwulan tertentu.
",,"Misalkan produksi melati adalah 20 kg, berarti tanaman bunga melati yang dihasilkan sebanyak 20 kg.
","Nama indikator : Produksi Tanaman Hias.

Konsep definisi : Jumlah produksi tanaman hias.

Manfaat : Mengetahui jumlah produksi tanaman hias di satu provinsi pada bulan/triwulan tertentu.
.

Keterangan tambahan : .

Interpretasi : Misalkan produksi melati adalah 20 kg, berarti tanaman bunga melati yang dihasilkan sebanyak 20 kg.
."
435,464,indikator,712,Produksi Tanaman Biofarmaka,Jumlah produksi tanaman biofarmaka,"Mengetahui jumlah produksi tanaman biofarmaka di satu provinsi pada bulan/triwulan tertentu.
",,"Misalkan produksi temulawak adalah 10 kg, berarti Temulawak yang dihasilkan sebanyak 10 kg.
","Nama indikator : Produksi Tanaman Biofarmaka.

Konsep definisi : Jumlah produksi tanaman biofarmaka.

Manfaat : Mengetahui jumlah produksi tanaman biofarmaka di satu provinsi pada bulan/triwulan tertentu.
.

Keterangan tambahan : .

Interpretasi : Misalkan produksi temulawak adalah 10 kg, berarti Temulawak yang dihasilkan sebanyak 10 kg.
."
436,465,indikator,713,Produksi Tanaman Buah-buahan dan Sayuran Tahunan,Jumlah produksi tanaman buah dan sayuran tahunan.,"Mengetahui jumlah produksi tanaman buah-buahan dan sayuran tahunan di satu provinsi pada bulan/triwulan tertentu.
",,"Misalkan produksi mangga adalah 20 kg berarti buah mangga yang dihasilkan sebanyak 20 kg.
","Nama indikator : Produksi Tanaman Buah-buahan dan Sayuran Tahunan.

Konsep definisi : Jumlah produksi tanaman buah dan sayuran tahunan.

Manfaat : Mengetahui jumlah produksi tanaman buah-buahan dan sayuran tahunan di satu provinsi pada bulan/triwulan tertentu.
.

Keterangan tambahan : .

Interpretasi : Misalkan produksi mangga adalah 20 kg berarti buah mangga yang dihasilkan sebanyak 20 kg.
."
437,466,indikator,714,Luas Panen Tanaman Sayuran dan Buah-buahan Semusim,Luasan panen dari produksi tanaman sayuran dan buah-buahan semusim,"Mengetahui luas lahan yang dipanen untuk tanaman sayuran dan buah-buahan semusim.
",,"Misalkan luas panen bawang merah adalah 20 ha, berarti luas panen tanaman bawang merah yang menghasilkan produksi bawang merah sejumlah kuintal tertentu adalah 2 ha.
","Nama indikator : Luas Panen Tanaman Sayuran dan Buah-buahan Semusim.

Konsep definisi : Luasan panen dari produksi tanaman sayuran dan buah-buahan semusim.

Manfaat : Mengetahui luas lahan yang dipanen untuk tanaman sayuran dan buah-buahan semusim.
.

Keterangan tambahan : .

Interpretasi : Misalkan luas panen bawang merah adalah 20 ha, berarti luas panen tanaman bawang merah yang menghasilkan produksi bawang merah sejumlah kuintal tertentu adalah 2 ha.
."
438,467,indikator,715,Luas Panen Tanaman Hias,Luasan panen dari produksi tanaman hias,"Mengetahui luas lahan yang dipanen untuk tanaman hias.
",,"Misalkan luas panen melati adalah 20 m2, berarti luas panen tanaman melati yang menghasilkan produksi melati sejumlah Kilogram tertentu adalah 20 m2.
","Nama indikator : Luas Panen Tanaman Hias.

Konsep definisi : Luasan panen dari produksi tanaman hias.

Manfaat : Mengetahui luas lahan yang dipanen untuk tanaman hias.
.

Keterangan tambahan : .

Interpretasi : Misalkan luas panen melati adalah 20 m2, berarti luas panen tanaman melati yang menghasilkan produksi melati sejumlah Kilogram tertentu adalah 20 m2.
."
439,468,indikator,716,Luas Panen Tanaman Biofarmaka,Luasan panen dari produksi tanaman biofarmaka,"Mengetahui luas lahan yang dipanen untuk tanaman biofarmaka.
",,"Misalkan luas panen temulawak adalah 10 m2, berarti luas panen tanaman temulawak yang menghasilkan produksi temulawak sejumlah Kilogram tertentu adalah 10 m2.
","Nama indikator : Luas Panen Tanaman Biofarmaka.

Konsep definisi : Luasan panen dari produksi tanaman biofarmaka.

Manfaat : Mengetahui luas lahan yang dipanen untuk tanaman biofarmaka.
.

Keterangan tambahan : .

Interpretasi : Misalkan luas panen temulawak adalah 10 m2, berarti luas panen tanaman temulawak yang menghasilkan produksi temulawak sejumlah Kilogram tertentu adalah 10 m2.
."
440,469,indikator,717,Tanaman Buah-buahan dan Sayuran Tahunan Menghasilkan,Banyaknya tanaman menghasilkan pada setiap triwulan per jenis tanaman buah-buahan dan sayuran tahunan dan provinsi.,"Mengetahui banyaknya tanaman buah-buahan dan sayuran tahunan yang berproduksi per provinsi pada triwulan tertentu.
",,"Jumlah tanaman buah-buahan dan sayuran menghasilakan pada provinsi dan tahun tertentu.
","Nama indikator : Tanaman Buah-buahan dan Sayuran Tahunan Menghasilkan.

Konsep definisi : Banyaknya tanaman menghasilkan pada setiap triwulan per jenis tanaman buah-buahan dan sayuran tahunan dan provinsi.

Manfaat : Mengetahui banyaknya tanaman buah-buahan dan sayuran tahunan yang berproduksi per provinsi pada triwulan tertentu.
.

Keterangan tambahan : .

Interpretasi : Jumlah tanaman buah-buahan dan sayuran menghasilakan pada provinsi dan tahun tertentu.
."
441,470,indikator,718,Indeks Harga yang Diterima (It),Indeks yang disusun berdasarkan hasil produksi pertanian.,"-	Melihat fluktuasi harga barang-barang yang dihasilkan petani;
-	Sebagai data penunjang dalam penghitungan pendapatan sektor pertanian.",,"It Nasional September 2014 (2012=100) = 118,02 artinya tingkat harga produksi pertanian mengalami kenaikan secara rata-rata 1,18 kali lipat dibanding dengan harga produk yang sama pada tahun 2012.","Nama indikator : Indeks Harga yang Diterima (It).

Konsep definisi : Indeks yang disusun berdasarkan hasil produksi pertanian.

Manfaat : -	Melihat fluktuasi harga barang-barang yang dihasilkan petani;
-	Sebagai data penunjang dalam penghitungan pendapatan sektor pertanian.

Keterangan tambahan : .

Interpretasi : It Nasional September 2014 (2012=100) = 118,02 artinya tingkat harga produksi pertanian mengalami kenaikan secara rata-rata 1,18 kali lipat dibanding dengan harga produk yang sama pada tahun 2012."
442,471,indikator,719,Indeks Harga yang Dibayar (Ib),Indeks yang disusun berdasarkan pengeluaran petani untuk menghasilkan produksi pertanian dan konsumsi rumah tangga.,"Melihat fluktuasi harga-harga barang yang dikonsumsi petani serta fluktuasi harga barang yang diperlukan untuk memproduksi hasil pertanian. Perkembangan Ib, khusunya Indeks Konsumsi Rumah Tangga, dapat menggambarkan inflasi perdesaan.",,"lb Nasional September 2014 (2012=100) =116,05 artinya tingkat harga kebutuhan petani mengalami kenaikan secara rata-rata 1,16 kali lipat dibandingkan dengan produk yang sama pada tahun 2012.","Nama indikator : Indeks Harga yang Dibayar (Ib).

Konsep definisi : Indeks yang disusun berdasarkan pengeluaran petani untuk menghasilkan produksi pertanian dan konsumsi rumah tangga.

Manfaat : Melihat fluktuasi harga-harga barang yang dikonsumsi petani serta fluktuasi harga barang yang diperlukan untuk memproduksi hasil pertanian. Perkembangan Ib, khusunya Indeks Konsumsi Rumah Tangga, dapat menggambarkan inflasi perdesaan.

Keterangan tambahan : .

Interpretasi : lb Nasional September 2014 (2012=100) =116,05 artinya tingkat harga kebutuhan petani mengalami kenaikan secara rata-rata 1,16 kali lipat dibandingkan dengan produk yang sama pada tahun 2012."
443,472,indikator,720,Produktivitas Tanaman Sayuran dan Buah-buahan Semusim,Jumlah produksi tanaman sayuran dan buah-buahan semusim per satuan luas (produksi per luasan).,"Mengetahui produktivitas dari tanaman sayuran dan buah-buahan semusim pada bulan tertentu di provinsi tertentu.
",,"Misalkan produktivitas bawang merah adalah 20 kw/ha, berarti satu hektar tanaman bawang merah akan menghasilkan produksi sebanyak 20 kuintal.
","Nama indikator : Produktivitas Tanaman Sayuran dan Buah-buahan Semusim.

Konsep definisi : Jumlah produksi tanaman sayuran dan buah-buahan semusim per satuan luas (produksi per luasan).

Manfaat : Mengetahui produktivitas dari tanaman sayuran dan buah-buahan semusim pada bulan tertentu di provinsi tertentu.
.

Keterangan tambahan : .

Interpretasi : Misalkan produktivitas bawang merah adalah 20 kw/ha, berarti satu hektar tanaman bawang merah akan menghasilkan produksi sebanyak 20 kuintal.
."
444,473,indikator,721,Produktivitas Tanaman Hias,Jumlah produksi tanaman hias per satuan luas (produksi per luasan).,"Mengetahui produktivitas dari tanaman hias pada bulan tertentu di provinsi tertentu.
",,"Misalkan produktivitas melati adalah 20 kg/m2, berarti satu m2 tanaman bunga melati akan menghasilkan produksi sebanyak 20 kg.
","Nama indikator : Produktivitas Tanaman Hias.

Konsep definisi : Jumlah produksi tanaman hias per satuan luas (produksi per luasan).

Manfaat : Mengetahui produktivitas dari tanaman hias pada bulan tertentu di provinsi tertentu.
.

Keterangan tambahan : .

Interpretasi : Misalkan produktivitas melati adalah 20 kg/m2, berarti satu m2 tanaman bunga melati akan menghasilkan produksi sebanyak 20 kg.
."
445,474,indikator,722,Produktivitas Tanaman Biofarmaka,Jumlah produksi tanaman biofarmaka per satuan luas (produksi per luasan).,"Mengetahui produktivitas dari tanaman biofarmaka pada bulan tertentu di provinsi tertentu.
",,"Misalkan produktivitas temulawak adalah 10 kg/m2, berarti satu m2 tanaman temulawak rata-rata menghasilkan produksi sebanyak 10 kg.
","Nama indikator : Produktivitas Tanaman Biofarmaka.

Konsep definisi : Jumlah produksi tanaman biofarmaka per satuan luas (produksi per luasan).

Manfaat : Mengetahui produktivitas dari tanaman biofarmaka pada bulan tertentu di provinsi tertentu.
.

Keterangan tambahan : .

Interpretasi : Misalkan produktivitas temulawak adalah 10 kg/m2, berarti satu m2 tanaman temulawak rata-rata menghasilkan produksi sebanyak 10 kg.
."
446,475,indikator,723,Produktivitas Tanaman Buah-buahan dan Sayuran Tahunan,Jumlah produksi per satuan tanaman (produksi per pohon).,Mengetahui produktivitas dari tanaman buah-buahan dan sayuran tahunan pada bulan tertentu di provinsi tertentu.,,"Misalkan produktivitas mangga adalah 50 pohon/ha, berarti satu hektar tanaman mangga akan menghasilkan produksi sebanyak 50 pohon.","Nama indikator : Produktivitas Tanaman Buah-buahan dan Sayuran Tahunan.

Konsep definisi : Jumlah produksi per satuan tanaman (produksi per pohon).

Manfaat : Mengetahui produktivitas dari tanaman buah-buahan dan sayuran tahunan pada bulan tertentu di provinsi tertentu.

Keterangan tambahan : .

Interpretasi : Misalkan produktivitas mangga adalah 50 pohon/ha, berarti satu hektar tanaman mangga akan menghasilkan produksi sebanyak 50 pohon."
447,476,indikator,728,Indeks Berantai Padi,Merupakan angka yang menunjukkan perbandingan produksi padi dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Memberikan informasi tentang perkembangan produksi padi dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.,,"- Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi padi antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi padi antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi padi antara tahun berjalan dengan tahun sebelumnya.
  ","Nama indikator : Indeks Berantai Padi.

Konsep definisi : Merupakan angka yang menunjukkan perbandingan produksi padi dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Memberikan informasi tentang perkembangan produksi padi dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : - Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi padi antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi padi antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi padi antara tahun berjalan dengan tahun sebelumnya.
  ."
448,477,indikator,729,Indeks Berantai Palawija,Merupakan angka yang menunjukkan perbandingan produksi palawija dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Memberikan informasi tentang perkembangan produksi palawija dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.,,"- Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi palawija antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi palawija antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi palawija antara tahun berjalan dengan tahun sebelumnya. ","Nama indikator : Indeks Berantai Palawija.

Konsep definisi : Merupakan angka yang menunjukkan perbandingan produksi palawija dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Memberikan informasi tentang perkembangan produksi palawija dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : - Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi palawija antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi palawija antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi palawija antara tahun berjalan dengan tahun sebelumnya. ."
449,478,indikator,730,Indeks Berantai Sayuran,Merupakan angka yang menunjukkan perbandingan produksi sayuran dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Memberikan informasi tentang perkembangan produksi sayuran dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.,,"- Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi sayuran antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi sayuran antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi sayuran antara tahun berjalan dengan tahun sebelumnya. ","Nama indikator : Indeks Berantai Sayuran.

Konsep definisi : Merupakan angka yang menunjukkan perbandingan produksi sayuran dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Memberikan informasi tentang perkembangan produksi sayuran dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : - Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi sayuran antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi sayuran antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi sayuran antara tahun berjalan dengan tahun sebelumnya. ."
450,479,indikator,731,Indeks Berantai Buah-Buahan,Merupakan angka yang menunjukkan perbandingan produksi buah-buahan dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Memberikan informasi tentang perkembangan produksi buah-buahan dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.,,"- Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi buah-buahan antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi buah-buahan antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi buah-buahan antara tahun berjalan dengan tahun sebelumnya. ","Nama indikator : Indeks Berantai Buah-Buahan.

Konsep definisi : Merupakan angka yang menunjukkan perbandingan produksi buah-buahan dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Memberikan informasi tentang perkembangan produksi buah-buahan dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : - Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi buah-buahan antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi buah-buahan antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi buah-buahan antara tahun berjalan dengan tahun sebelumnya. ."
451,480,indikator,732,Indeks Berantai Perkebunan Rakyat,Merupakan angka yang menunjukkan perbandingan produksi perkebunan rakyat dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Memberikan informasi tentang perkembangan produksi perkebunan rakyat dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.,,"- Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi perkebunan rakyat antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi perkebunan rakyat antara tahun berjalan dengan tahun
sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi perkebunan rakyat antara tahun berjalan dengan tahun sebelumnya. ","Nama indikator : Indeks Berantai Perkebunan Rakyat.

Konsep definisi : Merupakan angka yang menunjukkan perbandingan produksi perkebunan rakyat dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Memberikan informasi tentang perkembangan produksi perkebunan rakyat dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : - Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi perkebunan rakyat antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi perkebunan rakyat antara tahun berjalan dengan tahun
sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi perkebunan rakyat antara tahun berjalan dengan tahun sebelumnya. ."
452,481,indikator,733,Indeks Berantai Perkebunan Besar Negara,Merupakan angka yang menunjukkan perbandingan produksi perkebunan besar negara dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi perkebunan besar negara dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.,,"- Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi perkebunan besar negara antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi perkebunan besar negara antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi perkebunan besar negara antara tahun berjalan dengan tahun sebelumnya. ","Nama indikator : Indeks Berantai Perkebunan Besar Negara.

Konsep definisi : Merupakan angka yang menunjukkan perbandingan produksi perkebunan besar negara dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi perkebunan besar negara dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : - Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi perkebunan besar negara antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi perkebunan besar negara antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi perkebunan besar negara antara tahun berjalan dengan tahun sebelumnya. ."
453,482,indikator,734,Indeks Berantai Perkebunan Besar Swasta,Merupakan angka yang menunjukkan perbandingan produksi perkebunan besar swasta dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi perkebunan besar swasta dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.,,"- Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi perkebunan besar swasta antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi perkebunan besar swasta antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi perkebunan besar swasta antara tahun berjalan dengan tahun sebelumnya.  ","Nama indikator : Indeks Berantai Perkebunan Besar Swasta.

Konsep definisi : Merupakan angka yang menunjukkan perbandingan produksi perkebunan besar swasta dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi perkebunan besar swasta dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : - Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi perkebunan besar swasta antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi perkebunan besar swasta antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi perkebunan besar swasta antara tahun berjalan dengan tahun sebelumnya.  ."
454,483,indikator,735,Indeks Berantai Kehutanan,Merupakan angka yang menunjukkan perbandingan produksi kehutanan dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.,Indeks ini dapat memberikan informasi tentang perkembangan produksi kehutanan dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.,,"- Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi kehutanan antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi kehutanan antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi kehutanan antara tahun berjalan dengan tahun sebelumnya. ","Nama indikator : Indeks Berantai Kehutanan.

Konsep definisi : Merupakan angka yang menunjukkan perbandingan produksi kehutanan dan hasil-hasilnya pada tahun tertentu terhadap periode tahun sebelumnya.

Manfaat : Indeks ini dapat memberikan informasi tentang perkembangan produksi kehutanan dan hasil-hasilnya setiap tahun berjalan dibandingakan dengan tahun sebelumnya.

Keterangan tambahan : .

Interpretasi : - Jika angka indeks yang dihasilkan = 100 berarti tidak ada perkembangan produksi kehutanan antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan > 100 berarti ada perkembangan produksi kehutanan antara tahun berjalan dengan tahun sebelumnya; 
- Jika angka indeks yang dihasilkan = 100 berarti ada penurunan produksi kehutanan antara tahun berjalan dengan tahun sebelumnya. ."
